Gene.symbol	P.Value	logFC
Ankef1	0.117	0.16369315
Pnkd	0.117	-0.24986145
BC043934	0.117	0.19372566
Hist1h2ak	0.118	0.17874821
Smim8	0.118	-0.21463491
Olfr887	0.118	-0.12207341
Gm5755	0.118	-0.16194714
A830073O21Rik	0.118	-0.15213439
Ncln	0.118	-0.1853047
Epn2	0.118	-0.13422487
Grb7	0.118	-0.14265871
Alkbh3os1	0.118	-0.16350341
Ormdl2	0.118	0.23427999
Npas1	0.118	-0.1706876
Tceanc	0.118	0.1791142
Cfap46	0.118	-0.1958664
Tmx4	0.118	0.17862812
Trav9d-3	0.118	-0.1804989
Sh3bp4	0.118	0.12794098
Kir3dl2	0.118	-0.17169198
Wdr63	0.118	-0.18614549
Zp3	0.118	-0.1658785
Gramd1b	0.118	0.2499551
Lcmt2	0.118	0.17824198
Tctex1d2	0.118	-0.26368565
Hmcn1	0.118	-0.17376534
Rbm41	0.118	0.18139987
Krt33b	0.118	-0.19398554
Ero1l	0.118	0.16702666
Grm3	0.118	-0.13413615
1700020L24Rik	0.118	-0.13612822
Slc6a11	0.118	-0.12522176
Lcmt1	0.118	-0.1798473
Klf8	0.118	-0.14166862
Tmed4	0.118	0.20035334
Fam71e1	0.118	-0.22355714
Apoa4	0.118	-0.22644456
Csnk2b	0.118	-0.11935331
Gm9908	0.118	-0.19821915
Gm6460	0.119	-0.15036235
Isl2	0.119	-0.19473454
Nudcd2	0.119	0.13996411
Klc2	0.119	-0.15295761
Glrx5	0.119	-0.13008221
Defa24	0.119	-0.17039788
Aff3	0.119	0.12893953
Cebpd	0.119	-0.41023194
Foxl1	0.119	-0.15389559
Tcte2	0.119	-0.19509781
Txndc8	0.119	-0.17236568
Gm9902	0.119	-0.20051874
Ntn4	0.119	0.20592887
Olfr1288	0.119	-0.14257153
Tstd2	0.119	0.13833667
Tbkbp1	0.119	-0.141339
Glyctk	0.119	-0.12801898
Nova2	0.119	-0.18098462
Txndc12	0.119	0.21383659
Zfp54	0.119	0.12440329
Zfp488	0.119	-0.24869039
Dcdc2a	0.119	-0.17731037
Zrsr2	0.119	0.12247715
Adamts3	0.119	-0.20868511
Rhox13	0.119	-0.13253064
Cyb5d2	0.119	-0.19306614
Gabra5	0.119	-0.21415888
Prkag2	0.119	-0.18896816
Lcn6	0.119	-0.15630604
Gm6644	0.119	-0.17033254
Fbxl16	0.119	-0.21959885
Eif2s1	0.119	0.16193046
Fam65c	0.119	-0.15733469
9330182L06Rik	0.119	-0.12470866
Fem1b	0.119	0.16542994
Jmjd1c	0.119	0.20079342
Mirlet7a-2	0.119	0.12972263
Kansl2	0.119	-0.13456757
Clec4d	0.12	0.19749212
4921533I20Rik	0.12	-0.16094631
Gm1527	0.12	-0.15416643
Csgalnact1	0.12	0.26793682
4930412O13Rik	0.12	-0.16921626
Mpzl2	0.12	0.2582297
Prpf6	0.12	0.12205756
Prl8a9	0.12	-0.12636462
Akip1	0.12	0.22201442
Card9	0.12	-0.15669942
Slc12a6	0.12	-0.15075081
Snapin	0.12	0.12013979
Trpd52l3	0.12	-0.12181768
Rcan2	0.12	0.18632883
Psmc6	0.12	-0.15835986
Defa36	0.12	-0.13251497
A930035D04Rik	0.12	-0.14043025
Slc9c1	0.12	-0.15223007
Olfr965	0.12	-0.15084785
Sft2d3	0.12	0.22611001
Ogdh	0.12	-0.18058719
Zfp217	0.12	0.24073603
Spa17	0.12	-0.31227184
Hmbs	0.12	-0.19533216
Recql	0.12	0.13766224
Olfr1132	0.12	-0.17960997
Gm815	0.12	-0.17540082
Gpr19	0.12	-0.18621783
2310061N02Rik	0.12	-0.17672616
Mir20b	0.12	0.14897767
Sprn	0.12	-0.20548423
Atp4a	0.12	-0.16073968
Ptprn	0.12	-0.22457592
Rgs7bp	0.12	0.15874343
Rdh12	0.12	0.19877518
Hist1h2br	0.12	0.13851717
Eppin	0.121	-0.21274461
Tmie	0.121	-0.1819229
Olfr1030	0.121	-0.13837369
Fam71d	0.121	-0.13970674
Gm9933	0.121	-0.19217377
Lhcgr	0.121	-0.1427763
Grid2	0.121	-0.15709574
Rasgrp2	0.121	-0.17853782
Peli2	0.121	0.17218381
Gdpd2	0.121	-0.1682775
Rpl27a	0.121	0.1767285
Sycp2	0.121	-0.10802623
Ppm1k	0.121	-0.38171351
Rhobtb1	0.121	0.18461915
Carkd	0.121	-0.13769985
Zcchc6	0.121	0.17905355
Gpr61	0.121	-0.1576834
Nfu1	0.121	-0.16085408
Hmcn1	0.121	0.19474972
Ihh	0.121	-0.15439705
Lhx9	0.121	-0.17642642
V1ra8	0.121	-0.21387305
Rpl10a	0.121	0.15408602
Prdx6b	0.121	-0.187422
Tmem88b	0.121	0.13484422
Rslcan18	0.121	0.26969897
Hes5	0.121	-0.20034123
Ncapd2	0.121	0.15025915
Hs3st3b1	0.121	0.16565432
Olfr601	0.121	-0.15962244
Rnf207	0.121	-0.17951739
Rufy4	0.121	-0.1665639
Dhx29	0.121	0.11410712
Lrif1	0.121	-0.12537907
Gm4297	0.121	-0.12431511
Gm4297	0.121	-0.12431511
Cxxc5	0.122	-0.17813081
Tdgf1	0.122	-0.20533181
Mrgprb4	0.122	-0.17161952
Tex33	0.122	-0.17505249
Prdx1	0.122	-0.13845383
Taar1	0.122	-0.15999716
Gm13213	0.122	0.13289854
Sipa1l1	0.122	0.15153139
Taar4	0.122	-0.17805422
Olfr767	0.122	-0.33001257
Insrr	0.122	-0.1457842
Necap1	0.122	0.14711969
D930020B18Rik	0.122	-0.14960509
Cyp2c68	0.122	-0.13555302
Hmcn1	0.122	0.21705812
Speer3	0.122	-0.18580552
Olfr768	0.122	-0.11473812
Srsy	0.122	-0.1072444
Lingo2	0.122	-0.15939697
Gnaz	0.122	-0.17801305
Myo18b	0.122	0.15166768
Fxyd7	0.122	-0.11170981
Olfr1206	0.122	-0.12617412
Hmgb1-rs17	0.122	-0.12644672
Fosl1	0.122	-0.15613527
Slc6a19	0.122	0.19428365
Sec23a	0.122	-0.17880629
Khdc3	0.122	-0.13881668
Kcnj5	0.122	-0.1627373
Mdp1	0.122	0.11034138
Afp	0.122	-0.17147182
L1cam	0.122	0.13825367
Gadd45gip1	0.122	-0.19822003
Cpvl	0.123	-0.12938686
Fbxl4	0.123	-0.1828311
Rbm25	0.123	0.17983636
Plcxd3	0.123	-0.16015019
Vmn1r169	0.123	-0.13443176
Olfr1466	0.123	0.16134032
Obox5	0.123	-0.13444382
Obox5	0.123	-0.13444382
Rps11	0.123	0.26279418
Cnot1	0.123	0.1272755
Rpl32l	0.123	0.1864966
Ptprb	0.123	0.26761339
Gjb5	0.123	-0.21470461
Gm10334	0.123	-0.22053086
4930563M21Rik	0.123	-0.15247094
Mtmr9	0.123	0.15661088
Lap3	0.123	-0.19383587
1700007G11Rik	0.123	-0.1617116
Cflar	0.123	0.16180994
Eps8	0.123	0.17542251
Gm7982	0.123	-0.14993224
Rnf166	0.123	-0.12496249
Ccdc12	0.123	0.16255685
Polg2	0.123	0.15104958
Vmn1r221	0.123	-0.1581662
Grcc10	0.123	0.16101984
Tbx5	0.123	-0.15008867
H2-M10.6	0.123	-0.14562199
Dkkl1	0.123	-0.15493988
Ube2d3	0.123	0.13957044
Dpagt1	0.123	0.14132378
Tigd5	0.123	0.1067582
Prcc	0.124	-0.15663377
Olfr418	0.124	-0.13684926
Mir146b	0.124	-0.18964084
2310007H11Rik	0.124	-0.20180293
Usp17lc	0.124	-0.18940348
Gm10824	0.124	-0.14383212
Mlycd	0.124	-0.20610332
Nsg2	0.124	-0.19821716
Rho	0.124	-0.14451226
Fabp7	0.124	0.211995
Clec2i	0.124	-0.14601445
Vgf	0.124	-0.23392174
Serpina9	0.124	-0.22269349
Olfr225	0.124	-0.17769976
Pilrb2	0.124	0.18583281
Spata16	0.124	-0.13754796
Slc7a12	0.124	-0.14550902
Slc12a1	0.124	-0.14549965
Zfp92	0.124	-0.15770012
Dhrs4	0.124	-0.2246072
Pydc4	0.124	0.18539816
Trappc6a	0.124	0.17845182
Gm5766	0.124	0.15081185
1700034I23Rik	0.124	-0.1694087
Tacr1	0.124	-0.1377747
A930005H10Rik	0.124	-0.19737986
Scaf8	0.124	0.12431825
9130011E15Rik	0.124	-0.15712845
Gm44504	0.124	0.13446811
Ubtf	0.124	0.20110645
Abcb10	0.124	-0.26851488
Gm10755	0.124	0.14753362
Pidd1	0.124	0.17553852
Zfp831	0.124	-0.15928272
Slco1c1	0.124	-0.15203832
4933434M16Rik	0.124	-0.23846248
Vmn1r201	0.124	0.11997372
Efcab8	0.124	0.13735361
Hmgb1-rs17	0.124	-0.11103563
Tmtc3	0.124	0.15208817
Cfap221	0.124	-0.15711612
B3gnt7	0.124	-0.17077024
Sun3	0.124	-0.14142483
Usp25	0.124	-0.17272213
Foxe3	0.124	-0.17451759
Klb	0.124	0.48482221
Zfp979	0.125	-0.32465885
Murc	0.125	-0.13935181
Ucma	0.125	-0.23724722
Aanat	0.125	-0.15498108
Setd1a	0.125	0.15951457
Ppp2r2b	0.125	-0.16573671
Olfr1278	0.125	-0.12789654
Tet1	0.125	0.27355249
Ovca2	0.125	0.13175391
Olfr1434	0.125	-0.18258057
Bard1	0.125	0.13305501
Vmn2r10	0.125	-0.13955142
Ica1l	0.125	-0.15063567
Olfr606	0.125	-0.13626993
Prps1l3	0.125	-0.1480539
Stum	0.125	0.17965791
Cd86	0.125	0.14880578
Mir688	0.125	-0.28159658
Gm10419	0.125	-0.13244488
Tlr9	0.125	0.18585823
Sh3gl1	0.125	0.1062122
Hmcn1	0.125	0.15482596
Rdh9	0.125	-0.24751678
Ripply2	0.125	-0.11101209
Rps12	0.125	0.2446099
Rps12	0.125	0.2446099
Rps12	0.125	0.2446099
Defb36	0.125	-0.1523334
Lcn3	0.125	-0.21641871
AI597479	0.125	-0.12293038
Olfr560	0.125	-0.17254234
Ahr	0.125	0.23933247
Fam117a	0.125	-0.13918926
Pias1	0.125	0.18579872
Neurod4	0.126	-0.15243814
Mrgprx1	0.126	-0.13623014
Kbtbd6	0.126	0.17000358
Btbd19	0.126	-0.15603906
Fbxw18	0.126	0.11257884
Trappc10	0.126	0.19051257
Chic1	0.126	0.24333862
Usp12	0.126	0.18681667
Scgb2b2	0.126	-0.16607003
Macrod2os2	0.126	-0.15430232
Olfr976	0.126	-0.13591862
Noto	0.126	-0.17392949
Obp2a	0.126	-0.12722602
Olfr1372-ps1	0.126	-0.22266896
Tctn3	0.126	0.20088005
BC030500	0.126	-0.12048976
Cracr2b	0.126	-0.15087587
Zfp612	0.126	-0.20594972
Rsph6a	0.126	-0.16457545
Trim14	0.126	0.11771529
Ccdc68	0.126	0.12984754
Caskin2	0.126	0.14737619
Fam189a2	0.126	-0.19157799
Acot12	0.126	-0.16462223
Ift57	0.126	0.23151436
Hpcal1	0.126	0.16551762
Mettl4-ps1	0.126	-0.13447233
Hmgb1-rs17	0.126	-0.13539605
Nxnl2	0.126	-0.14297348
Vmn2r12	0.126	-0.24167326
Rabif	0.126	0.23074068
Sox3	0.126	-0.16777146
Gm2956	0.126	0.29817017
Jak3	0.126	0.13077417
Dnah6	0.126	-0.11730285
Gm13288	0.126	-0.17059978
Afmid	0.126	0.15435501
Eif4enif1	0.126	0.15350838
Tmem14c	0.126	-0.12677765
Gm10617	0.126	-0.15405713
Lad1	0.126	-0.22235435
Soga1	0.126	0.1479271
Rabac1	0.126	-0.149096
Gm7978	0.127	-0.12284826
Gm11564	0.127	-0.18884235
Lta4h	0.127	0.1452127
Try5	0.127	-0.24603135
Igkv4-59	0.127	-0.11944482
Rabggta	0.127	-0.14880009
Spef2	0.127	0.12201116
Daglb	0.127	0.18577822
Pfkp	0.127	0.29402734
Fam46d	0.127	-0.16542384
B130055M24Rik	0.127	0.11636476
Olfr204	0.127	-0.14874767
Fjx1	0.127	0.15409494
Art5	0.127	-0.2131969
Kcnmb4os2	0.127	-0.21344211
Tpmt	0.127	0.16735256
Gm10804	0.127	-0.17390681
Tpo	0.127	-0.15473466
Gm6653	0.127	-0.22242644
Nos2	0.127	-0.1373015
Asic2	0.127	-0.17012398
Asphd1	0.127	-0.15630716
Nxf3	0.127	-0.1297212
Gm6994	0.127	-0.16865417
Pck2	0.127	0.20685316
Pebp1	0.127	-0.13019721
Olfr871	0.127	-0.11374968
Cacna1f	0.127	-0.15241204
4930519F16Rik	0.127	-0.14328495
Pcsk2	0.128	-0.11010375
Dmbx1	0.128	-0.22520978
Nrbf2	0.128	-0.18104995
1700016K19Rik	0.128	-0.18501874
Xrcc4	0.128	0.1576431
Esp1	0.128	-0.13645296
E330017A01Rik	0.128	-0.16787421
Arl13b	0.128	0.15245902
Rpl9	0.128	0.14722758
LOC100862433	0.128	0.21821739
Rpl7a	0.128	0.15097494
Cfi	0.128	-0.15254189
Zfyve26	0.128	-0.16684718
Olfr832	0.128	-0.12607942
Fbxw4	0.128	-0.12995513
Abcc2	0.128	-0.1623029
Gm10489	0.128	-0.21441851
Dennd3	0.128	0.12639011
Msantd3	0.128	0.1261554
Ntn3	0.128	-0.19911389
Lyl1	0.128	-0.17774813
Gm1045	0.128	-0.12256494
Ttll4	0.128	0.15953188
Jph3	0.128	-0.20525983
Gimap1	0.128	-0.13913231
Rft1	0.128	0.17857667
Gm10767	0.128	-0.24368673
Tgm1	0.128	-0.1866657
Gm15023	0.128	-0.15574304
Snora20	0.128	-0.19772653
1700014D04Rik	0.128	-0.16930207
Arr3	0.128	-0.13017011
Olfr681	0.128	-0.1110868
Ano3	0.128	0.11825812
Ptpru	0.128	-0.13064251
E230016K23Rik	0.128	-0.16354092
Slc44a4	0.128	-0.1822263
Szt2	0.128	0.12305521
Obox5	0.128	-0.15997324
Dnah9	0.128	-0.17227958
Poteg	0.129	-0.15121574
Gm10696	0.129	-0.15131675
Gm10696	0.129	-0.15131675
Gm10696	0.129	-0.15131675
Rest	0.129	0.22321733
Gm11691	0.129	-0.20303873
Wfdc6b	0.129	-0.14882414
Tmem207	0.129	-0.20240103
Mir100	0.129	0.22255673
Snx32	0.129	-0.17365089
Mrps10	0.129	-0.17854303
Klhl24	0.129	0.20122034
Cyp2d9	0.129	-0.16275987
Grina	0.129	-0.16773641
Hmgb1-rs17	0.129	-0.10963822
Pex3	0.129	0.21103502
Ptger3	0.129	0.3579544
Olfr172	0.129	-0.24837786
Faim2	0.129	-0.17779539
Gm16551	0.129	-0.13744852
Gm14326	0.129	-0.29943153
Ccdc92b	0.129	-0.16497275
Tpt1	0.129	0.11731359
Tgm2	0.129	0.2483665
Tmem115	0.129	-0.1528918
Gm1000	0.129	-0.17595861
Olfr1012	0.129	-0.22359513
Hlcs	0.129	0.18431588
Gm21951	0.129	-0.13545326
Ear14	0.13	-0.1595132
Zfp874a	0.13	-0.14117482
Rpl27a	0.13	0.1987138
Ddx59	0.13	-0.14456679
Smg8	0.13	0.13586432
Afg3l1	0.13	-0.20134102
Il23r	0.13	-0.14495237
Iqcf4	0.13	-0.17403757
4930524B15Rik	0.13	-0.14397271
Olfr1504	0.13	-0.13939583
Gm9918	0.13	-0.15396321
Asb1	0.13	0.13197087
D630039A03Rik	0.13	-0.18193744
Lrrc3c	0.13	-0.15185465
Vmn1r186	0.13	-0.12835011
Brdt	0.13	-0.14030153
Mmp21	0.13	-0.20306264
Mageb3	0.13	-0.21360269
Serpina1d	0.13	-0.13859898
Kank3	0.13	0.21230352
Cebpe	0.13	-0.12818683
Rps8	0.13	0.1488748
Zscan18	0.131	0.15760875
Gm7562	0.131	-0.1530999
Grap	0.131	-0.22479001
Upp1	0.131	0.15647676
Lat2	0.131	0.13133216
Myo18b	0.131	0.15280419
B530045E10Rik	0.131	-0.11357016
Lypd8	0.131	0.17617987
Slc27a3	0.131	-0.15304691
Cab39l	0.131	-0.15166375
Mtfr1l	0.131	-0.15954387
4731419I09Rik	0.131	-0.16321916
Tbl1xr1	0.131	0.18727095
Stpg1	0.131	-0.22626816
Xrn1	0.131	0.22675266
Ints5	0.131	0.13091254
Snrpb	0.131	-0.14197677
1500035N22Rik	0.131	-0.17402803
Atp5h	0.131	-0.11523439
Cxxc4	0.131	-0.16538696
Zfp931	0.131	-0.53664436
Rab26	0.131	-0.18116838
Ggn	0.131	-0.15345435
Avpr2	0.131	-0.14896154
Chd7	0.131	-0.18814134
Sertm1	0.131	-0.20002245
Gm11238	0.131	-0.17558474
Olfr825	0.131	-0.13722989
Mir412	0.131	-0.16376776
Mecom	0.131	-0.26534645
9330158H04Rik	0.131	-0.11804676
Umodl1	0.131	-0.16053664
Klk1b1	0.131	-0.16103747
Csnka2ip	0.131	-0.12346548
Slc7a15	0.131	0.16826536
Gm4956	0.131	-0.15590891
Casr	0.131	-0.25010714
Hpse2	0.131	-0.1122984
Kng2	0.131	-0.25091529
Asap1	0.131	0.19027886
Oraov1	0.132	0.18940733
Ly6g5b	0.132	-0.18438129
Cyp3a57	0.132	-0.17464152
Olfr1360	0.132	-0.11971383
Nrn1l	0.132	-0.14927482
Ssh1	0.132	-0.14303611
Veph1	0.132	-0.11011752
Dlgap1	0.132	-0.18537345
Gm10697	0.132	-0.13645178
Gm10697	0.132	-0.13645178
Cadps	0.132	-0.15625582
Bnip1	0.132	-0.20029584
Bbs7	0.132	-0.1703755
Herc4	0.132	0.28962256
Gm20831	0.132	-0.12168552
Mir29c	0.132	-0.31181362
Otogl	0.132	-0.13916251
Pogz	0.132	0.13108048
Nlrc5	0.132	0.12878249
Gm6133	0.132	-0.1927056
Xrcc6bp1	0.132	-0.12415625
Gpr143	0.132	-0.1494751
Clec3a	0.132	0.53197557
Spert	0.132	-0.18541217
Ston2	0.132	0.22890257
Gm9955	0.132	-0.18213907
Prn	0.132	0.41576572
Hmbox1	0.132	0.19031638
Dnajb14	0.132	-0.26547435
Cts6	0.132	-0.12979488
2600006K01Rik	0.132	-0.2079231
Plekha4	0.132	0.13933443
Fyttd1	0.132	-0.1187982
Sema4c	0.132	0.14719083
Zfp619	0.133	0.18094852
M5C1000I18Rik	0.133	-0.13907742
Pgc	0.133	-0.20141806
Cpa1	0.133	-0.18067259
Slco6c1	0.133	-0.13430113
Cpeb1	0.133	-0.26617057
Nol9	0.133	0.16780126
Camp	0.133	-0.14589802
4921511M17Rik	0.133	-0.11326845
C530025M09Rik	0.133	-0.20025037
Snord115	0.133	0.18751014
Klf4	0.133	-0.17541806
Fam135b	0.133	-0.1528632
Phf10	0.133	0.10172777
Tpbg	0.133	0.16062876
Mir138-2	0.133	-0.18751637
1700123L14Rik	0.133	-0.16489654
Lemd2	0.133	0.11189584
Gch1	0.133	0.16140176
Frmpd1	0.133	0.12921184
Gm9881	0.133	-0.12698185
Evi5l	0.133	-0.11975741
1700016D06Rik	0.133	-0.16410486
Atad1	0.133	0.24872384
Itgb4	0.133	-0.13491798
2900005J15Rik	0.133	-0.12816196
Trem2	0.133	0.19628545
Ccl3	0.133	0.21923703
4930595M18Rik	0.133	-0.14343888
Polq	0.133	-0.14999013
Uba7	0.133	0.11986297
Lipk	0.133	-0.14078186
Gm7978	0.133	-0.1326783
Ang4	0.133	-0.17608532
Olfr1195	0.133	-0.19029716
Nr2e3	0.133	-0.1436579
Vmn2r35	0.134	-0.10936187
Disc1	0.134	-0.14738363
Ifnab	0.134	-0.21924199
Mir129-1	0.134	-0.15357357
Gm10767	0.134	-0.22530275
Apoa1bp	0.134	0.15214198
Pyy	0.134	-0.224707
Klk1b8	0.134	-0.2075159
Aco1	0.134	0.17270287
D030046N08Rik	0.134	-0.15644336
Hmcn1	0.134	0.25588133
Etv1	0.134	0.17476602
Cstf1	0.134	-0.11946468
Nufip1	0.134	0.13842154
Akr1d1	0.134	-0.19753181
Irf6	0.134	0.11645052
Ttc26	0.134	0.15416633
Nrp	0.134	0.10814738
Ublcp1	0.134	-0.26010838
A930104D05Rik	0.134	-0.13956341
Eif5	0.134	-0.11608306
Pisd	0.134	0.13496535
Isl1	0.134	-0.18888767
Stxbp6	0.134	-0.21893577
Dnajb13	0.134	-0.14719143
Omt2a	0.134	-0.14591584
Bnip3	0.134	-0.18314255
Zfp719	0.134	0.17237324
Ankrd39	0.134	-0.14571494
AA474408	0.134	0.16085626
Adh6-ps1	0.134	-0.13821503
S100a6	0.134	0.36985676
Spink12	0.134	-0.12523707
Rbpjl	0.134	-0.19533534
Orm1	0.134	0.59327557
Nccrp1	0.134	-0.19216102
Cfap61	0.134	-0.13063373
Ebp	0.134	0.188161
Olfr1245	0.134	-0.12366943
Zfp60	0.134	0.17879878
Olfr1390	0.134	-0.17837232
Kdm2b	0.134	-0.23142433
Clcn6	0.134	0.17321381
Lexm	0.134	-0.18904204
Gm20831	0.135	-0.11220463
Olfr46	0.135	-0.13851003
Zbtb26	0.135	0.21537424
Cyp27b1	0.135	-0.21262265
Batf3	0.135	-0.15994173
Prss40	0.135	-0.15724198
Myadml2	0.135	-0.20415435
Taok1	0.135	0.18753918
Rab40c	0.135	0.14008852
Sim2	0.135	-0.27374278
Arl6	0.135	0.1248148
Sfmbt1	0.135	-0.20402237
Ranbp10	0.135	0.16532968
Rps8	0.135	0.13459874
Rps8	0.135	0.13459874
Mbd3l1	0.135	-0.16207162
Igbp1b	0.135	-0.14331182
Ptpn11	0.135	-0.13442525
Gm4763	0.135	0.14836906
Olfr190	0.135	-0.15655352
Fam92b	0.135	-0.16802873
Jakmip1	0.135	-0.21842147
Srl	0.135	-0.14071257
Sdhd	0.135	-0.20228324
Rapgef5	0.136	0.24814589
Cyp2c54	0.136	-0.24344182
Irak1	0.136	0.11015415
Thap8	0.136	-0.16522821
1810013L24Rik	0.136	-0.1316953
Fmnl2	0.136	0.13412643
Hormad1	0.136	0.15353325
Slfn10-ps	0.136	0.20324823
Olfr872	0.136	-0.11904979
Cog7	0.136	0.15472008
Pax1	0.136	-0.15392331
Tfap4	0.136	-0.16338633
Nkx2-3	0.136	-0.13491223
Romo1	0.136	-0.23858228
Olfr1089	0.136	-0.18389442
Zpld1	0.136	-0.12683089
Rnf220	0.136	-0.15174351
Hmcn1	0.136	0.13513224
Gpc5	0.136	-0.15572995
Mplkip	0.136	0.13297989
Polr2l	0.136	0.13102628
Atp7b	0.136	-0.14546516
Hmcn1	0.136	0.2003808
Ttc39d	0.136	-0.18084196
BC040756	0.136	-0.14939549
Brat1	0.136	0.12843158
Hist1h2al	0.136	0.1517659
Fam205c	0.136	-0.16355387
Ttc23l	0.136	-0.13346901
Mdm1	0.136	-0.11245132
Ttc21b	0.136	0.17856532
Ktn1	0.136	-0.14064929
Kir3dl1	0.136	-0.19392009
En2	0.136	-0.18273568
Rspo4	0.136	-0.12024561
Srp19	0.137	-0.11346022
Shroom1	0.137	-0.18677967
Gtpbp8	0.137	-0.18543528
Arg1	0.137	-0.18464866
Mir152	0.137	-0.1309645
Nqo2	0.137	-0.2552226
Olfr1495	0.137	-0.15830598
Rae1	0.137	0.1532967
Gm960	0.137	-0.12900491
Sult1b1	0.137	-0.13581384
1700016D08Rik	0.137	-0.15010608
Ap5s1	0.137	0.13019204
Son	0.137	0.14622419
Slc22a2	0.137	-0.14648259
Tmem134	0.137	-0.14090493
Pvt1	0.137	-0.13727294
1600015I10Rik	0.137	-0.16258365
Rpl18	0.137	0.14649524
Fmn1	0.137	0.14981301
Abhd17b	0.137	-0.14681923
Ly6k	0.137	-0.18831395
Ccdc183	0.137	-0.13575711
Slco1a5	0.137	-0.13100269
Dcps	0.137	0.15202464
Scx	0.137	-0.25716284
Tspyl2	0.137	0.18887743
Olfr504	0.137	-0.14165943
Zfpm1	0.137	-0.12448799
Esd	0.137	0.13213918
Smr2	0.137	-0.13204234
Rybp	0.137	-0.17905345
Olfr915	0.137	-0.17082682
Dnajc13	0.137	0.13693109
Lrrc7	0.137	-0.16902079
Cpsf2	0.137	0.1703609
Syngr4	0.138	-0.23820833
Rpl10a	0.138	0.15261492
Map4k1	0.138	-0.13653516
Gm10779	0.138	-0.11727959
Apol8	0.138	-0.14696699
Hmcn1	0.138	0.1877939
Vmn2r118	0.138	-0.14888099
Gm3558	0.138	-0.17362375
Ing3	0.138	0.13915962
Cd300lb	0.138	0.12605853
Grin2b	0.138	-0.13614612
Vmn2r88	0.138	-0.10788786
Col9a3	0.138	-0.22507164
Fam71a	0.138	-0.17842462
Olfr223	0.138	-0.11399673
Shcbp1l	0.138	-0.12674649
H1f0	0.138	0.15355954
Zfp600	0.138	-0.17652395
Gm7978	0.138	-0.12440889
Ei24	0.138	0.1412985
Pcbd2	0.138	-0.16925182
Espnl	0.138	-0.19883777
Gm4792	0.138	-0.14443869
Nr0b1	0.138	-0.21491655
Cd164l2	0.138	-0.16341581
Gm9222	0.138	0.1888941
Trpc4ap	0.139	-0.11208393
Ctrc	0.139	-0.13665433
4932431P20Rik	0.139	-0.15986753
Ptn	0.139	0.18673433
Pou4f1	0.139	-0.1687422
Elavl3	0.139	-0.20435066
Khdc1a	0.139	-0.21169005
Reep4	0.139	0.16340869
Cntn4	0.139	-0.1157693
Prom2	0.139	-0.19484506
Gm36704	0.139	-0.14816802
Zc3h6	0.139	-0.37432437
D030018L15Rik	0.139	-0.1837076
Ackr3	0.139	-0.16482553
Hmcn1	0.139	0.22051044
Tmod2	0.139	0.13812036
F10	0.139	-0.14203294
Tatdn3	0.139	-0.12939573
Scgb2b23-ps	0.139	-0.11694741
Sostdc1	0.139	-0.18472663
Gm21951	0.139	-0.12873012
Gm21951	0.139	-0.12873012
Per3	0.139	0.40824152
Gm11744	0.139	-0.19322009
Olfr1145	0.139	-0.13579718
Ocel1	0.139	0.20869049
Cct8l1	0.139	-0.19473827
1700012A03Rik	0.139	-0.14927838
Il6st	0.139	0.17769516
Nr2c2ap	0.139	0.15599523
Slc13a2	0.139	-0.14053876
Ttc27	0.14	-0.1628166
Tmem214	0.14	0.20769103
Pgr	0.14	-0.21303044
Zfp146	0.14	0.16556812
Col13a1	0.14	-0.16823724
A730085E03Rik	0.14	-0.12951566
Emc1	0.14	0.18314648
Zeb1	0.14	0.1074689
Olfr1084	0.14	-0.15743265
Fibcd1	0.14	-0.16456891
Ofcc1	0.14	-0.17395393
LOC100043315	0.14	-0.19107697
Snx22	0.14	-0.13278536
Zfyve27	0.14	0.14028653
Tcp11l1	0.14	0.22690997
Vav3	0.14	0.17350085
BC048403	0.14	-0.13742147
Impg1	0.14	-0.1528525
H2-M10.3	0.14	-0.16676491
Hoxa5	0.14	0.20407906
Zfyve28	0.14	-0.15544785
Ankrd26	0.14	-0.14399345
Plk4	0.14	0.11720195
Zfp930	0.14	-0.15860502
Amica1	0.14	0.15310558
Ift46	0.14	0.19697059
Nr2c2	0.14	0.19416514
Gm10876	0.14	-0.13810468
Ssbp1	0.14	-0.22719151
Olfr1370	0.14	-0.15023026
Hoxa9	0.14	-0.16909048
Asl	0.14	0.12092138
Galr2	0.14	-0.16013756
Calcrl	0.14	0.18315737
Mthfsl	0.141	-0.18630808
Stra8	0.141	-0.16154844
Olfr971	0.141	-0.13444606
C6	0.141	-0.14790501
Hbb-y	0.141	-0.18645059
Dolpp1	0.141	-0.11736404
Olfr978	0.141	-0.14740661
Cyth2	0.141	0.12464709
Tm4sf4	0.141	-0.13973797
Ranbp1	0.141	0.17235745
Nup210l	0.141	-0.14518416
Gm9911	0.141	-0.0968323
Zfp983	0.141	0.16693961
Gm3259	0.141	-0.15428944
Rpl27a	0.141	0.17699384
Olfr481	0.141	-0.16477407
Gm9932	0.141	-0.15823447
Mppe1	0.141	0.1291026
Sil1	0.141	-0.15594426
Chd5	0.141	-0.1284595
Hsf4	0.141	-0.17271204
Vstm2b	0.141	-0.14754507
Vmn1r54	0.141	-0.11437781
Rnf44	0.141	0.16674244
Ctdsp2	0.141	0.19371192
Vmn2r65	0.141	-0.20433609
Snx14	0.141	0.13711419
